Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
3503-of-13898,151340464,15309522.45,203,107569,319,117
3504-of-13898,148912934,13007579.57,203,107789,321,118
3505-of-13898,272774722,26358740.87,200,107272,298,99
3506-of-13898,221865728,22601782.55,199,104681,306,106
3507-of-13898,232295667,18649361.08,204,109600,308,104
3508-of-13898,310169975,27735005.77,200,106567,296,96
3509-of-13898,122334148,9901014.04,202,107130,329,127
3510-of-13898,116194180,8985341.34,204,108464,331,128
3511-of-13898,102162963,7282487.95,209,108080,340,131
3512-of-13898,91987955,6425031.47,209,108164,346,137
3513-of-13898,121669942,11800222.78,212,110353,329,118
3514-of-13898,116341287,11461288.08,212,110463,331,119
3515-of-13898,259291093,23099565.32,204,110441,302,99
3516-of-13898,256687444,22821939.74,204,110451,302,99
3517-of-13898,193398247,22845322.29,199,103479,311,112
3518-of-13898,45868187,3385252.02,213,110369,362,148
3519-of-13898,183129532,18839673.55,201,108677,310,110
3520-of-13898,143589351,12740694.27,200,107865,320,120
3521-of-13898,140333934,10887385.61,201,108276,324,122
3522-of-13898,139894695,10887385.61,201,108373,324,122
3523-of-13898,123064097,11057720.09,211,110552,329,118
3524-of-13898,129255522,10702546.44,201,106598,326,125
3525-of-13898,126037940,10640075.45,201,106612,326,125
3526-of-13898,112549524,9559115.31,202,107957,330,127
3527-of-13898,110238266,9402690.84,203,108213,331,128
3528-of-13898,319538670,28837484.32,193,99228,293,100
3529-of-13898,313295837,28172081.82,193,99324,293,101
3530-of-13898,305273998,27678759.36,193,99354,295,102
3531-of-13898,300884620,27235624.88,193,99424,296,103
3532-of-13898,150817164,16411552.46,200,104192,330,130
3533-of-13898,142379972,15387138.48,200,104230,333,133
3534-of-13898,104277021,9686950.75,213,111328,335,122
3535-of-13898,187891011,15961973.38,200,106171,315,115
3536-of-13898,181465592,14868369.89,200,106191,316,116
3537-of-13898,147574925,10482590.96,204,109891,322,118
3538-of-13898,145373750,10270233.95,204,109963,322,118
3539-of-13898,139403031,9630180.77,205,110267,325,120
3540-of-13898,233951124,26060047.99,197,103973,302,105
3541-of-13898,59041711,4641002.29,208,110638,355,147
3542-of-13898,212254432,19280412.64,200,104441,310,111
3543-of-13898,179641924,17521813.61,200,107097,316,116
3544-of-13898,46738694,3392912.4,213,110742,358,145
3545-of-13898,46623590,3392912.4,213,110754,358,145
3546-of-13898,46552087,3392178.41,213,110764,358,145
3547-of-13898,152862366,12876887.82,200,107028,322,123
3548-of-13898,206225807,15060616.66,200,106931,313,113
3549-of-13898,184062638,13438718.04,201,107573,315,114
3550-of-13898,181964915,13152229.06,201,107645,316,115
3551-of-13898,182774793,17073680.49,197,104951,314,117
3552-of-13898,170929233,16780319.06,197,105085,317,120
3553-of-13898,258646538,22801924.09,203,106852,304,101
3554-of-13898,52854102,5410515.75,211,110266,353,141
3555-of-13898,50451374,5300247.76,212,110542,354,142
3556-of-13898,188151564,17901602.32,200,106585,311,111
3557-of-13898,221691727,22344231.3,202,110360,304,102
3558-of-13898,220075813,22293138.94,203,110466,305,102
3559-of-13898,146536573,15120436.37,199,106548,322,122
3560-of-13898,145037634,15056139.09,200,106731,323,123
3561-of-13898,157874231,14230080.26,204,110137,317,113
3562-of-13898,155773850,14129744.88,204,110325,317,113
3563-of-13898,150688648,13790337.79,204,110392,317,113
3564-of-13898,279502376,26823845.88,203,106882,301,98
3565-of-13898,277256977,26564072.37,203,107048,301,98
3566-of-13898,165066718,12570823.52,204,110489,318,114
3567-of-13898,154038733,11468217.15,205,110839,320,115
3568-of-13898,137249660,10689147.92,201,108455,324,123
3569-of-13898,215371037,20967606.16,204,111071,306,103
3570-of-13898,213716333,18695707.59,204,111164,307,103
3571-of-13898,90361498,6822336.03,205,109219,341,136
3572-of-13898,106874817,8998945.41,209,110575,332,123
3573-of-13898,106695267,8997303.28,209,110635,332,123
3574-of-13898,223949690,22447661.36,206,108792,309,103
3575-of-13898,223139898,22302989.28,206,108797,309,103
3576-of-13898,134630817,15782463.75,205,106374,327,123
3577-of-13898,115861829,9124195.33,206,111121,325,119
3578-of-13898,222487167,21809208.05,203,109253,306,102
3579-of-13898,219697673,21458685.81,203,109270,306,103
3580-of-13898,217013264,20597021.36,204,110852,306,103
3581-of-13898,153337569,15447399.13,203,106949,319,116
3582-of-13898,149976330,15278710.96,203,107058,320,117
3583-of-13898,134568524,14872941.25,204,107826,322,118
3584-of-13898,171943348,15091415.7,202,105692,320,118
3585-of-13898,171899197,15083566.51,202,105692,321,119
3586-of-13898,240211470,20824296.7,207,109312,309,102
3587-of-13898,176505625,14805066.59,204,110401,314,110
3588-of-13898,175803813,14686790.26,204,110417,314,110
3589-of-13898,135056290,10797977.34,202,108860,324,122
3590-of-13898,110088073,8173278.78,204,109517,331,128
3591-of-13898,101659356,7268043.83,209,108120,339,131
3592-of-13898,293914785,30573091.21,189,97214,290,101
3593-of-13898,293210687,30454791.4,189,97229,290,102
3594-of-13898,146594242,14059917.06,201,104978,327,126
3595-of-13898,238813908,24140025.26,196,102663,300,104
3596-of-13898,237902773,23459765.97,196,102775,302,105
3597-of-13898,237868000,23459765.97,197,102781,302,105
3598-of-13898,236795778,23448456.19,197,102793,302,106
3599-of-13898,233787719,23386252.55,196,102821,302,106
3600-of-13898,117620425,12167257.02,212,110831,331,118
3601-of-13898,60651674,3997018.97,211,109479,356,145
3602-of-13898,112773262,13659138.02,207,107446,333,126
3603-of-13898,81623812,6121685.69,206,109320,344,139
3604-of-13898,215670644,21251524.31,204,110156,307,103
3605-of-13898,107623681,11530555.23,203,106056,334,131
3606-of-13898,152090404,14802473.6,205,110718,317,112
3607-of-13898,146276098,14941955.63,204,106921,321,118
3608-of-13898,291344965,25055563.38,199,107222,297,98
3609-of-13898,291193355,25055563.38,199,107243,297,98
3610-of-13898,169731446,16528477.91,201,107049,315,115
3611-of-13898,160146281,16210006.84,202,107503,318,116
3612-of-13898,65822336,4752818.48,209,110850,351,142
3613-of-13898,144849668,11259876.62,203,107252,326,123
3614-of-13898,143921214,11090408.04,203,107409,326,123
3615-of-13898,185688626,14213160.91,207,108288,317,110
3616-of-13898,185090665,14172191.3,207,108485,318,111
3617-of-13898,256190433,23413993.52,203,106785,304,101
3618-of-13898,276656039,25432352.81,203,108951,301,98
3619-of-13898,192864198,18161886.45,201,106507,308,107
3620-of-13898,162703956,17768683.48,203,106002,320,116
3621-of-13898,156804808,17383862.72,203,106040,320,117
3622-of-13898,249548139,24105311.72,201,107050,303,101
3623-of-13898,142371282,14989780.58,205,105423,329,124
3624-of-13898,128621607,13091775.55,205,105651,330,126
3625-of-13898,121500606,12723836.88,205,105714,332,127
3626-of-13898,219896688,15153893.13,207,109898,314,107
3627-of-13898,214065849,14686501.02,209,110428,316,107
3628-of-13898,116795987,9340676.49,204,106502,336,133
3629-of-13898,114084409,9194012.26,204,106638,339,135
3630-of-13898,113942539,9194012.26,204,106667,339,135
3631-of-13898,188600536,17459297.51,198,106083,313,115
3632-of-13898,181005302,16603682.29,199,106206,314,116
3633-of-13898,180724968,16603658.81,199,106284,314,116
3634-of-13898,113991061,11713876.42,212,110890,331,119
3635-of-13898,111695914,11308102.49,213,110896,332,120
3636-of-13898,111639130,11308102.49,213,110898,332,120
3637-of-13898,110894135,11280856.75,213,110915,333,120
3638-of-13898,109334083,11212834.38,213,111112,334,121
3639-of-13898,124875742,8972760.33,204,108766,330,126
3640-of-13898,124857183,8972317.3,204,108768,330,126
3641-of-13898,257372151,22538146.72,203,110293,302,99
3642-of-13898,139642828,9019613.92,207,108850,331,124
3643-of-13898,139105004,9019275.69,207,108866,332,125
3644-of-13898,125963623,9893384.47,205,111268,326,122
3645-of-13898,125951508,9882372.01,205,111268,326,122
3646-of-13898,82224453,5921226.16,207,111368,342,134
3647-of-13898,79470063,5827943.51,207,111368,344,137
3648-of-13898,78889759,5760418.2,208,111421,345,137
3649-of-13898,131333025,11830895.48,205,109651,324,119
3650-of-13898,131330739,11830872,205,109651,324,119
3651-of-13898,130606640,11635596.63,205,109651,325,119
3652-of-13898,172319758,15469480.86,199,104323,319,120
3653-of-13898,171486977,15389776.25,200,104600,320,120
3654-of-13898,162728300,15067077.97,200,105146,321,121
3655-of-13898,168886938,16500197.59,200,106662,317,117
3656-of-13898,154986255,14757265.22,200,106778,318,118
3657-of-13898,144984416,13383430.84,201,107730,320,119
3658-of-13898,229652923,22054036.9,200,104729,302,102
3659-of-13898,200821909,18416468.96,204,106621,310,106
3660-of-13898,195198069,18115656.44,205,107609,312,107
3661-of-13898,173189330,14598952.72,201,107743,318,117
3662-of-13898,58859157,5459707.87,212,110860,351,139
3663-of-13898,144307926,13636303,205,106820,323,118
3664-of-13898,153711951,13602987.32,205,108598,320,115
3665-of-13898,153602241,13601093.32,205,108637,321,115
3666-of-13898,116127577,13626187.57,205,106324,334,129
3667-of-13898,115262368,13430912.2,205,106334,335,130
3668-of-13898,135292570,15506024.89,200,105846,331,131
3669-of-13898,132940199,15249076.96,200,105879,332,132
3670-of-13898,140990024,12035540.14,200,107145,326,126
3671-of-13898,139839273,11948249.21,200,107156,326,126
3672-of-13898,98500500,7426735.03,205,108442,341,136
3673-of-13898,143133754,10236492.05,203,107682,327,125
3674-of-13898,175920274,13682724.73,201,105346,322,121
3675-of-13898,174310452,13396078.14,201,105384,322,121
3676-of-13898,168956903,12722242.95,201,105402,322,122
3677-of-13898,235098545,26340743.8,200,107280,301,101
3678-of-13898,224376183,23512664.94,203,108980,304,101
3679-of-13898,215614676,22729980.09,204,109433,307,103
3680-of-13898,245498896,21074930.71,203,109760,304,102
3681-of-13898,151443549,10546799.56,206,105869,335,129
3682-of-13898,155723910,13498464.88,204,110476,317,113
3683-of-13898,147075769,13272117.9,204,110530,317,113
3684-of-13898,116510366,7798100.67,204,109276,334,130
3685-of-13898,242159385,25732969.56,199,105217,302,103
3686-of-13898,141449381,12829052.46,205,106905,323,118
3687-of-13898,123691285,10913465,205,107581,328,122
3688-of-13898,123162866,10908641.82,206,107835,328,122
3689-of-13898,240546726,19991382.92,203,110502,305,102
3690-of-13898,102714734,10770591.17,203,108416,330,127
3691-of-13898,100579108,10531049.78,203,108520,330,127
3692-of-13898,138894677,12725321.41,202,106202,327,124
3693-of-13898,176996780,13749403.47,205,111137,314,109
3694-of-13898,176925277,13748669.48,205,111141,314,109
3695-of-13898,165503097,12244208.91,202,107311,320,118
3696-of-13898,98992849,6994436.85,209,110095,339,129
3697-of-13898,181500784,15834675.29,198,105671,316,117
3698-of-13898,97283474,7809293.28,210,110577,336,127
3699-of-13898,155588917,14491096.61,203,106154,320,117
3700-of-13898,155035306,14413278.48,203,106164,320,117
3701-of-13898,119998444,8183525.5,208,107926,338,130
3702-of-13898,310981745,27738968.77,200,106548,295,95
3703-of-13898,298585870,27228794.78,201,106618,297,96
3704-of-13898,165028978,13930768.45,204,107923,320,116
3705-of-13898,194808145,15669742.29,200,106637,316,116
3706-of-13898,187507229,14732959.98,200,106657,317,117
3707-of-13898,185746404,14537758.76,200,106664,317,117
3708-of-13898,132552340,9355041.63,206,106998,334,128
3709-of-13898,138018523,13220266.97,201,104607,328,127
3710-of-13898,132690405,12786288.35,202,104955,329,128
3711-of-13898,121988821,11523836.1,202,105271,331,129
3712-of-13898,106912554,10437911.13,202,105433,334,132
3713-of-13898,61877181,5513702.19,208,110187,355,148
3714-of-13898,242782105,21271844.75,198,107012,302,104
3715-of-13898,241017712,20935816.21,198,107024,303,104
3716-of-13898,239709216,20717120.19,198,107132,303,104
3717-of-13898,170327823,13899386.5,202,106042,319,116
3718-of-13898,108409763,10076531.67,205,109161,330,126
3719-of-13898,46688858,3223037.82,213,110396,359,146
3720-of-13898,43383561,3150125.48,214,110584,360,146
3721-of-13898,42844280,2451638.29,214,110745,361,147
3722-of-13898,207571576,17843126.2,199,104685,310,111
3723-of-13898,206556041,17787980.12,199,104701,310,111
3724-of-13898,176730803,15188591.13,201,105476,316,115
3725-of-13898,183281897,15906329.31,200,107023,314,114
3726-of-13898,167149662,14217160.96,201,107824,317,116
3727-of-13898,197552554,17984219.18,205,106768,313,108
3728-of-13898,194334972,17921748.19,205,106823,313,108
3729-of-13898,234399581,18870946.53,204,109491,308,103
3730-of-13898,87223220,5957096.59,207,111171,341,134
3731-of-13898,99776981,7444116.41,205,110587,333,128
3732-of-13898,98965211,7440153.41,206,110606,334,128
3733-of-13898,97400326,7410142.8,206,110606,335,130
3734-of-13898,105038212,7182757.57,209,110022,339,130
3735-of-13898,241792494,20452388.04,203,109787,304,102
3736-of-13898,241549743,20416027.92,203,109788,304,102
3737-of-13898,167386639,16338048.78,204,110470,314,110
3738-of-13898,166527710,16330788.15,204,110508,314,110
3739-of-13898,260159468,26975228.91,199,104686,299,100
3740-of-13898,250429146,25450679.8,201,106833,302,101
3741-of-13898,111511013,7435068.66,211,110231,336,125
3742-of-13898,107120969,6849701.1,213,110811,340,128
3743-of-13898,105272271,6757627.97,213,110856,341,129
3744-of-13898,123827689,9591695.95,210,110122,330,120
3745-of-13898,122759599,9468470.81,210,110135,330,120
3746-of-13898,109851965,11658277.37,202,105838,333,131
3747-of-13898,109694298,11614624.49,203,105904,334,131
3748-of-13898,63691337,4946956.11,208,110647,351,143
3749-of-13898,63650578,4938298.19,208,110648,351,143
3750-of-13898,161852447,13521548.69,201,106426,322,121
3751-of-13898,154682522,12999884.34,201,106516,323,122
3752-of-13898,230224104,23963212.49,199,104588,303,104
3753-of-13898,228402872,23667495.18,199,104643,304,105
3754-of-13898,199818348,15848968.98,199,104426,315,115
3755-of-13898,192872782,15488695.13,201,105220,316,116
3756-of-13898,361238945,31010443.99,192,99792,285,93
3757-of-13898,353314556,29854607.6,194,101460,288,94
3758-of-13898,351222853,29801327.38,197,102873,291,95
3759-of-13898,350422822,29659352.87,197,102882,292,95
3760-of-13898,349272916,29574387.64,197,102886,292,95
3761-of-13898,136973041,12461139.12,202,107357,324,121
3762-of-13898,197378626,18883584.95,201,105149,311,110
3763-of-13898,173833071,16223686.21,203,106495,317,115
3764-of-13898,319539553,31572766.63,189,98183,284,96
3765-of-13898,311386030,30803494.9,190,98723,287,97
3766-of-13898,311099027,30803494.9,190,98801,287,97
3767-of-13898,272087886,29544714.94,200,106807,297,97
3768-of-13898,271410620,29431222.75,200,106822,298,98
3769-of-13898,270296970,29312625.34,200,106825,299,99
3770-of-13898,180529948,14638655.2,206,109878,315,109
3771-of-13898,180510020,14634577.61,206,109881,315,109
3772-of-13898,175257931,14369375.75,206,110011,316,110
3773-of-13898,278944097,22544921.31,202,106410,303,101
3774-of-13898,275619361,22482450.32,203,106512,303,101
3775-of-13898,45643810,3115213.51,213,110794,363,150
3776-of-13898,45576617,3105407.97,213,110801,363,150
3777-of-13898,44285810,2941393.7,213,110818,363,150
3778-of-13898,43925428,2857053.12,213,110832,364,151
3779-of-13898,43507324,2816083.51,213,111006,365,151
3780-of-13898,104691080,10301142.13,204,106807,337,133
3781-of-13898,259559937,22399763.71,207,109739,306,99
3782-of-13898,152511285,12586343.03,201,105464,324,123
3783-of-13898,151026729,12478239.29,201,105493,324,123
3784-of-13898,149082124,12307339.61,201,105533,324,123
3785-of-13898,201670674,17479791.9,200,105497,310,110
3786-of-13898,194647243,16999175.36,200,105657,312,112
3787-of-13898,89495641,7647934.98,205,109010,341,136
3788-of-13898,159188893,12624867.16,205,110561,318,114
3789-of-13898,148352738,12183133.64,205,110642,319,114
3790-of-13898,141704493,15344698.93,200,104248,334,134
3791-of-13898,137990905,15145490.28,201,104348,336,136
3792-of-13898,133495670,14274748.68,201,104426,336,136
3793-of-13898,278874810,22513718.84,203,106414,303,101
3794-of-13898,142392689,11688278.66,201,107952,323,122
3795-of-13898,45987046,3104761.49,213,110411,359,146
3796-of-13898,44628326,2928415.87,214,110666,361,147
3797-of-13898,35017378,2649521.52,215,111130,367,152
3798-of-13898,135042907,9385845.09,206,108412,330,124
3799-of-13898,133015256,9301112.36,206,108415,331,126
3800-of-13898,130113649,9182098.21,206,108623,332,126
3801-of-13898,80638146,6958783.85,205,109602,343,138
3802-of-13898,136519671,12530393.86,200,106792,325,125
